Advanced Micro Devices Inc | Price History                                          17-Nov-2021 01:06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMD.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMD.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,155.65,09-Nov-2021,Max,"325,058,416",27-Aug-2018,Advancing,"43,674,863,441",Up,660,Up,+19.95%,30-Jan-2019,Max,"26,809,865,077.97",04-Aug-2021
Low,7.07,16-Nov-2016,Min,"11,035,758",24-Nov-2017,Declining,"38,646,807,406",Down,588,Down,-24.23%,02-May-2017,Min,"124,898,601.88",25-Nov-2016
Avg,41.96,,Avg,"65,825,921",,Total,"82,874,833,969",Unch,10,Period,"+1,887.61%",16-Nov-2016 - 16-Nov-2021,Avg,"2,546,256,600.75",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMD.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
02-Oct-2017,12.71,-0.04,-0.31%,12.80,12.62,12.85,"34,461,080","437,863,141.99","5,768,987,848.68",,,,,,
29-Sep-2017,12.75,+0.01,+0.08%,12.77,12.60,12.82,"33,926,900","431,360,289.86","6,206,850,990.67",,,,,,
28-Sep-2017,12.74,0.00,0.00%,12.76,12.55,12.84,"35,812,311","453,930,508.84","5,775,490,700.81",,,,,,
27-Sep-2017,12.74,+0.29,+2.33%,12.65,12.50,12.87,"59,947,247","759,574,070.58","5,321,560,191.97",,,,,,
26-Sep-2017,12.45,-0.16,-1.27%,12.85,12.43,12.93,"68,302,025","862,355,277.37","4,561,986,121.40",,,,,,
25-Sep-2017,12.61,-0.69,-5.19%,13.25,12.49,13.28,"84,172,237","1,078,244,320.74","5,424,341,398.77",,,,,,
22-Sep-2017,13.30,-0.11,-0.82%,13.20,13.12,13.40,"50,546,957","669,601,671.32","6,502,585,719.51",,,,,,
21-Sep-2017,13.41,-0.33,-2.40%,14.00,13.32,14.24,"166,821,947","2,287,586,612.18","7,172,187,390.83",,,,,,
20-Sep-2017,13.74,+0.62,+4.73%,13.07,12.80,13.80,"102,682,437","1,372,488,751.61","9,459,774,003.01",,,,,,
19-Sep-2017,13.12,+0.04,+0.31%,13.25,12.88,13.29,"65,455,230","859,777,971.81","8,087,285,251.40",,,,,,
18-Sep-2017,13.08,+0.56,+4.47%,12.77,12.74,13.30,"83,517,385","1,091,709,674.36","7,227,507,279.59",,,,,,
15-Sep-2017,12.52,+0.26,+2.12%,12.33,12.31,12.66,"50,337,411","631,464,577.09","6,135,797,605.23",,,,,,
14-Sep-2017,12.26,+0.04,+0.33%,12.15,12.11,12.46,"37,220,155","458,226,965.08","5,504,333,028.14",,,,,,
13-Sep-2017,12.22,-0.08,-0.65%,12.22,12.12,12.36,"37,210,654","456,150,177.65","5,046,106,063.06",,,,,,
12-Sep-2017,12.30,-0.25,-1.99%,12.66,12.21,12.68,"54,413,148","672,134,102.32","5,502,256,240.71",,,,,,
11-Sep-2017,12.55,+0.30,+2.45%,12.46,12.40,12.74,"43,346,052","545,056,988.03","6,174,390,343.03",,,,,,
08-Sep-2017,12.25,-0.38,-3.01%,12.57,12.04,12.61,"60,886,232","743,177,877.38","5,629,333,355.00",,,,,,
07-Sep-2017,12.63,-0.23,-1.79%,12.84,12.60,12.94,"35,816,911","457,055,349.27","6,372,511,232.38",,,,,,
06-Sep-2017,12.86,-0.06,-0.46%,13.02,12.75,13.08,"34,182,430","440,794,270.13","6,829,566,581.65",,,,,,
05-Sep-2017,12.92,-0.27,-2.05%,12.88,12.65,13.18,"51,578,710","665,290,211.36","7,270,360,851.79",,,,,,
01-Sep-2017,13.19,+0.19,+1.46%,13.12,13.04,13.49,"53,158,562","705,654,705.18","7,935,651,063.14",,,,,,
31-Aug-2017,13.00,+0.33,+2.60%,12.82,12.79,13.16,"51,822,102","674,093,457.07","7,229,996,357.96",,,,,,
30-Aug-2017,12.67,+0.52,+4.28%,12.19,12.16,12.68,"43,932,966","548,374,083.72","6,555,902,900.89",,,,,,
29-Aug-2017,12.15,-0.08,-0.65%,12.00,11.93,12.18,"33,618,112","405,110,845.57","6,007,528,817.17",,,,,,
28-Aug-2017,12.23,-0.20,-1.61%,12.53,12.16,12.55,"35,969,587","440,848,069.90","6,412,639,662.74",,,,,,
25-Aug-2017,12.43,-0.07,-0.56%,12.51,12.25,12.57,"29,732,049","368,591,561.02","6,853,487,732.64",,,,,,
24-Aug-2017,12.50,+0.02,+0.16%,12.69,12.39,12.71,"37,269,674","467,223,405.19","7,222,079,293.66",,,,,,
23-Aug-2017,12.48,+0.31,+2.55%,12.00,11.95,12.54,"44,345,380","548,395,924.05","6,754,855,888.47",,,,,,
