S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
13-Feb-2018,"2,662.94",+6.94,+0.26%,"2,646.27","2,637.08","2,668.84",
12-Feb-2018,"2,656.00",+36.45,+1.39%,"2,636.75","2,622.45","2,672.61",
09-Feb-2018,"2,619.55",+38.55,+1.49%,"2,601.78","2,532.69","2,638.67",
08-Feb-2018,"2,581.00",-100.66,-3.75%,"2,685.01","2,580.56","2,685.27",
07-Feb-2018,"2,681.66",-13.48,-0.50%,"2,690.95","2,681.33","2,727.67",
06-Feb-2018,"2,695.14",+46.20,+1.74%,"2,614.78","2,593.07","2,701.04",
05-Feb-2018,"2,648.94",-113.19,-4.10%,"2,741.06","2,638.17","2,763.39",
02-Feb-2018,"2,762.13",-59.85,-2.12%,"2,808.92","2,759.97","2,808.92",
01-Feb-2018,"2,821.98",-1.83,-0.06%,"2,816.45","2,812.70","2,835.96",
31-Jan-2018,"2,823.81",+1.38,+0.05%,"2,832.41","2,813.04","2,839.26",
30-Jan-2018,"2,822.43",-31.10,-1.09%,"2,832.74","2,818.27","2,837.75",
29-Jan-2018,"2,853.53",-19.34,-0.67%,"2,867.23","2,851.48","2,870.62",
26-Jan-2018,"2,872.87",+33.62,+1.18%,"2,847.48","2,846.18","2,872.87",
25-Jan-2018,"2,839.25",+1.71,+0.06%,"2,846.24","2,830.94","2,848.56",
24-Jan-2018,"2,837.54",-1.59,-0.06%,"2,845.42","2,824.81","2,852.97",
23-Jan-2018,"2,839.13",+6.16,+0.22%,"2,835.05","2,830.59","2,842.24",
22-Jan-2018,"2,832.97",+22.67,+0.81%,"2,809.16","2,808.12","2,833.03",
19-Jan-2018,"2,810.30",+12.27,+0.44%,"2,802.60","2,798.08","2,810.33",
18-Jan-2018,"2,798.03",-4.53,-0.16%,"2,802.40","2,792.56","2,805.83",
17-Jan-2018,"2,802.56",+26.14,+0.94%,"2,784.99","2,778.38","2,807.04",
16-Jan-2018,"2,776.42",-9.82,-0.35%,"2,798.96","2,768.64","2,807.54",
12-Jan-2018,"2,786.24",+18.68,+0.67%,"2,770.18","2,769.64","2,787.85",
11-Jan-2018,"2,767.56",+19.33,+0.70%,"2,752.97","2,752.78","2,767.56",
10-Jan-2018,"2,748.23",-3.06,-0.11%,"2,745.55","2,736.06","2,750.80",
09-Jan-2018,"2,751.29",+3.58,+0.13%,"2,751.15","2,747.86","2,759.14",
08-Jan-2018,"2,747.71",+4.56,+0.17%,"2,742.67","2,737.60","2,748.51",
05-Jan-2018,"2,743.15",+19.16,+0.70%,"2,731.33","2,727.92","2,743.45",
04-Jan-2018,"2,723.99",+10.93,+0.40%,"2,719.31","2,719.07","2,729.29",
03-Jan-2018,"2,713.06",+17.25,+0.64%,"2,697.85","2,697.77","2,714.37",
02-Jan-2018,"2,695.81",+22.20,+0.83%,"2,683.73","2,682.36","2,695.89",
29-Dec-2017,"2,673.61",-13.93,-0.52%,"2,689.15","2,673.61","2,692.12",
28-Dec-2017,"2,687.54",+4.92,+0.18%,"2,686.10","2,682.69","2,687.66",
27-Dec-2017,"2,682.62",+2.12,+0.08%,"2,682.10","2,678.91","2,685.64",
26-Dec-2017,"2,680.50",-2.84,-0.11%,"2,679.09","2,677.96","2,682.74",
22-Dec-2017,"2,683.34",-1.23,-0.05%,"2,684.22","2,678.13","2,685.35",
21-Dec-2017,"2,684.57",+5.32,+0.20%,"2,683.02","2,682.40","2,692.64",
20-Dec-2017,"2,679.25",-2.22,-0.08%,"2,688.18","2,676.11","2,691.01",
19-Dec-2017,"2,681.47",-8.69,-0.32%,"2,692.71","2,680.74","2,694.44",
18-Dec-2017,"2,690.16",+14.35,+0.54%,"2,685.92","2,685.92","2,694.97",
15-Dec-2017,"2,675.81",+23.80,+0.90%,"2,660.63","2,659.14","2,679.63",
14-Dec-2017,"2,652.01",-10.84,-0.41%,"2,665.87","2,652.01","2,668.09",
13-Dec-2017,"2,662.85",-1.26,-0.05%,"2,667.59","2,662.85","2,671.88",
12-Dec-2017,"2,664.11",+4.12,+0.15%,"2,661.73","2,659.78","2,669.72",
