S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
03-Jun-2020,"3,122.87",+42.05,+1.36%,"3,098.90","3,098.90","3,130.94",
02-Jun-2020,"3,080.82",+25.09,+0.82%,"3,064.78","3,051.64","3,081.07",
01-Jun-2020,"3,055.73",+11.42,+0.38%,"3,038.78","3,031.54","3,062.18",
29-May-2020,"3,044.31",+14.58,+0.48%,"3,025.17","2,998.61","3,049.17",
28-May-2020,"3,029.73",-6.40,-0.21%,"3,046.61","3,023.40","3,068.67",
27-May-2020,"3,036.13",+44.36,+1.48%,"3,015.65","2,969.75","3,036.25",
26-May-2020,"2,991.77",+36.32,+1.23%,"3,004.08","2,988.17","3,021.72",
22-May-2020,"2,955.45",+6.94,+0.24%,"2,948.05","2,933.59","2,956.76",
21-May-2020,"2,948.51",-23.10,-0.78%,"2,969.95","2,938.57","2,978.50",
20-May-2020,"2,971.61",+48.67,+1.67%,"2,953.63","2,953.63","2,980.29",
19-May-2020,"2,922.94",-30.97,-1.05%,"2,948.59","2,922.35","2,964.21",
18-May-2020,"2,953.91",+90.21,+3.15%,"2,913.86","2,913.86","2,968.09",
15-May-2020,"2,863.70",+11.20,+0.39%,"2,829.95","2,816.78","2,865.01",
14-May-2020,"2,852.50",+32.50,+1.15%,"2,794.54","2,766.64","2,852.80",
13-May-2020,"2,820.00",-50.12,-1.75%,"2,865.86","2,793.15","2,874.14",
12-May-2020,"2,870.12",-60.20,-2.05%,"2,939.50","2,869.59","2,945.82",
11-May-2020,"2,930.32",+0.52,+0.02%,"2,915.46","2,903.44","2,944.25",
08-May-2020,"2,929.80",+48.61,+1.69%,"2,908.83","2,902.88","2,932.16",
07-May-2020,"2,881.19",+32.77,+1.15%,"2,878.26","2,876.48","2,901.92",
06-May-2020,"2,848.42",-20.02,-0.70%,"2,883.14","2,847.65","2,891.11",
05-May-2020,"2,868.44",+25.70,+0.90%,"2,868.88","2,863.55","2,898.23",
04-May-2020,"2,842.74",+12.03,+0.42%,"2,815.01","2,797.85","2,844.24",
01-May-2020,"2,830.71",-81.72,-2.81%,"2,869.09","2,821.61","2,869.09",
30-Apr-2020,"2,912.43",-27.08,-0.92%,"2,930.91","2,892.47","2,930.91",
29-Apr-2020,"2,939.51",+76.12,+2.66%,"2,918.46","2,912.16","2,954.86",
28-Apr-2020,"2,863.39",-15.09,-0.52%,"2,909.96","2,860.71","2,921.15",
27-Apr-2020,"2,878.48",+41.74,+1.47%,"2,854.65","2,852.89","2,887.72",
24-Apr-2020,"2,836.74",+38.94,+1.39%,"2,812.64","2,791.76","2,842.71",
23-Apr-2020,"2,797.80",-1.51,-0.05%,"2,810.42","2,794.26","2,844.90",
22-Apr-2020,"2,799.31",+62.75,+2.29%,"2,787.89","2,775.95","2,815.10",
21-Apr-2020,"2,736.56",-86.60,-3.07%,"2,784.81","2,727.10","2,785.54",
20-Apr-2020,"2,823.16",-51.40,-1.79%,"2,845.62","2,820.43","2,868.98",
17-Apr-2020,"2,874.56",+75.01,+2.68%,"2,842.43","2,830.88","2,879.22",
16-Apr-2020,"2,799.55",+16.19,+0.58%,"2,799.34","2,764.32","2,806.51",
15-Apr-2020,"2,783.36",-62.70,-2.20%,"2,795.64","2,761.54","2,801.88",
14-Apr-2020,"2,846.06",+84.43,+3.06%,"2,805.10","2,805.10","2,851.85",
13-Apr-2020,"2,761.63",-28.19,-1.01%,"2,782.46","2,721.17","2,782.46",
09-Apr-2020,"2,789.82",+39.84,+1.45%,"2,776.99","2,762.36","2,818.57",
08-Apr-2020,"2,749.98",+90.57,+3.41%,"2,685.00","2,663.30","2,760.75",
07-Apr-2020,"2,659.41",-4.27,-0.16%,"2,738.65","2,657.67","2,756.89",
06-Apr-2020,"2,663.68",+175.03,+7.03%,"2,578.28","2,574.57","2,676.85",
03-Apr-2020,"2,488.65",-38.25,-1.51%,"2,514.92","2,459.96","2,538.18",
02-Apr-2020,"2,526.90",+56.40,+2.28%,"2,458.54","2,455.79","2,533.22",
01-Apr-2020,"2,470.50",-114.09,-4.41%,"2,498.08","2,447.49","2,522.75",
31-Mar-2020,"2,584.59",-42.06,-1.60%,"2,614.69","2,571.15","2,641.39",
30-Mar-2020,"2,626.65",+85.18,+3.35%,"2,558.98","2,545.28","2,631.80",
27-Mar-2020,"2,541.47",-88.60,-3.37%,"2,555.87","2,520.02","2,615.91",
26-Mar-2020,"2,630.07",+154.51,+6.24%,"2,501.29","2,500.72","2,637.01",
25-Mar-2020,"2,475.56",+28.23,+1.15%,"2,457.77","2,407.53","2,571.42",
24-Mar-2020,"2,447.33",+209.93,+9.38%,"2,344.44","2,344.44","2,449.71",
23-Mar-2020,"2,237.40",-67.52,-2.93%,"2,290.71","2,191.86","2,300.73",
20-Mar-2020,"2,304.92",-104.47,-4.34%,"2,431.94","2,295.56","2,453.01",
19-Mar-2020,"2,409.39",+11.29,+0.47%,"2,393.48","2,319.78","2,466.97",
18-Mar-2020,"2,398.10",-131.09,-5.18%,"2,436.50","2,280.52","2,453.57",
17-Mar-2020,"2,529.19",+143.06,+6.00%,"2,425.66","2,367.04","2,553.93",
16-Mar-2020,"2,386.13",-324.89,-11.98%,"2,508.59","2,380.94","2,562.98",
13-Mar-2020,"2,711.02",+230.38,+9.29%,"2,569.99","2,492.37","2,711.33",
12-Mar-2020,"2,480.64",-260.74,-9.51%,"2,630.86","2,478.86","2,660.95",
11-Mar-2020,"2,741.38",-140.85,-4.89%,"2,825.60","2,707.22","2,825.60",
10-Mar-2020,"2,882.23",+135.67,+4.94%,"2,813.48","2,734.00","2,882.59",
09-Mar-2020,"2,746.56",-225.81,-7.60%,"2,863.89","2,734.43","2,863.89",
06-Mar-2020,"2,972.37",-51.57,-1.71%,"2,954.20","2,901.54","2,985.93",
05-Mar-2020,"3,023.94",-106.18,-3.39%,"3,075.70","2,999.83","3,083.04",
04-Mar-2020,"3,130.12",+126.75,+4.22%,"3,045.75","3,034.38","3,130.97",
03-Mar-2020,"3,003.37",-86.86,-2.81%,"3,096.46","2,976.63","3,136.72",
02-Mar-2020,"3,090.23",+136.01,+4.60%,"2,974.28","2,945.19","3,090.96",
28-Feb-2020,"2,954.22",-24.54,-0.82%,"2,916.90","2,855.84","2,959.72",
27-Feb-2020,"2,978.76",-137.63,-4.42%,"3,062.54","2,977.39","3,097.07",
26-Feb-2020,"3,116.39",-11.82,-0.38%,"3,139.90","3,108.99","3,182.51",
25-Feb-2020,"3,128.21",-97.68,-3.03%,"3,238.94","3,118.77","3,246.99",
24-Feb-2020,"3,225.89",-111.86,-3.35%,"3,257.61","3,214.65","3,259.81",
21-Feb-2020,"3,337.75",-35.48,-1.05%,"3,360.50","3,328.45","3,360.76",
20-Feb-2020,"3,373.23",-12.92,-0.38%,"3,380.45","3,341.02","3,389.15",
19-Feb-2020,"3,386.15",+15.86,+0.47%,"3,380.39","3,378.83","3,393.52",
18-Feb-2020,"3,370.29",-9.87,-0.29%,"3,369.04","3,355.61","3,375.01",
14-Feb-2020,"3,380.16",+6.22,+0.18%,"3,378.08","3,366.15","3,380.69",
13-Feb-2020,"3,373.94",-5.51,-0.16%,"3,365.90","3,360.52","3,385.09",
12-Feb-2020,"3,379.45",+21.70,+0.65%,"3,370.50","3,369.72","3,381.47",
11-Feb-2020,"3,357.75",+5.66,+0.17%,"3,365.87","3,352.72","3,375.63",
10-Feb-2020,"3,352.09",+24.38,+0.73%,"3,318.28","3,317.77","3,352.26",
07-Feb-2020,"3,327.71",-18.07,-0.54%,"3,335.54","3,322.12","3,341.42",
06-Feb-2020,"3,345.78",+11.09,+0.33%,"3,344.92","3,334.39","3,347.96",
05-Feb-2020,"3,334.69",+37.10,+1.13%,"3,324.91","3,313.75","3,337.58",
04-Feb-2020,"3,297.59",+48.67,+1.50%,"3,280.61","3,280.61","3,306.92",
03-Feb-2020,"3,248.92",+23.40,+0.73%,"3,235.66","3,235.66","3,268.44",
31-Jan-2020,"3,225.52",-58.14,-1.77%,"3,282.33","3,214.68","3,282.33",
30-Jan-2020,"3,283.66",+10.26,+0.31%,"3,256.45","3,242.80","3,285.91",
29-Jan-2020,"3,273.40",-2.84,-0.09%,"3,289.46","3,271.89","3,293.47",
28-Jan-2020,"3,276.24",+32.61,+1.01%,"3,255.35","3,253.22","3,285.78",
27-Jan-2020,"3,243.63",-51.84,-1.57%,"3,247.16","3,234.50","3,258.85",
24-Jan-2020,"3,295.47",-30.07,-0.90%,"3,333.10","3,281.53","3,333.18",
23-Jan-2020,"3,325.54",+3.79,+0.11%,"3,315.77","3,301.87","3,326.88",
22-Jan-2020,"3,321.75",+0.96,+0.03%,"3,330.02","3,320.04","3,337.77",
21-Jan-2020,"3,320.79",-8.83,-0.27%,"3,321.03","3,316.61","3,329.79",
17-Jan-2020,"3,329.62",+12.81,+0.39%,"3,323.66","3,318.86","3,329.88",
16-Jan-2020,"3,316.81",+27.52,+0.84%,"3,302.97","3,302.82","3,317.11",
15-Jan-2020,"3,289.29",+6.14,+0.19%,"3,282.27","3,280.69","3,298.66",
14-Jan-2020,"3,283.15",-4.98,-0.15%,"3,285.35","3,277.19","3,294.25",
13-Jan-2020,"3,288.13",+22.78,+0.70%,"3,271.13","3,268.43","3,288.13",
10-Jan-2020,"3,265.35",-9.35,-0.29%,"3,281.81","3,260.86","3,282.99",
09-Jan-2020,"3,274.70",+21.65,+0.67%,"3,266.03","3,263.67","3,275.58",
08-Jan-2020,"3,253.05",+15.87,+0.49%,"3,238.59","3,236.67","3,267.07",
07-Jan-2020,"3,237.18",-9.10,-0.28%,"3,241.86","3,232.43","3,244.91",
06-Jan-2020,"3,246.28",+11.43,+0.35%,"3,217.55","3,214.64","3,246.84",
03-Jan-2020,"3,234.85",-23.00,-0.71%,"3,226.36","3,222.34","3,246.15",
02-Jan-2020,"3,257.85",+27.07,+0.84%,"3,244.67","3,235.53","3,258.14",
31-Dec-2019,"3,230.78",+9.49,+0.29%,"3,215.18","3,212.03","3,231.72",
30-Dec-2019,"3,221.29",-18.73,-0.58%,"3,240.09","3,216.57","3,240.92",
27-Dec-2019,"3,240.02",+0.11,+0.00%,"3,247.23","3,234.37","3,247.93",
26-Dec-2019,"3,239.91",+16.53,+0.51%,"3,227.20","3,227.20","3,240.08",
24-Dec-2019,"3,223.38",-0.63,-0.02%,"3,225.45","3,220.51","3,226.43",
23-Dec-2019,"3,224.01",+2.79,+0.09%,"3,226.05","3,222.30","3,227.78",
20-Dec-2019,"3,221.22",+15.85,+0.49%,"3,223.33","3,216.03","3,225.65",
19-Dec-2019,"3,205.37",+14.23,+0.45%,"3,192.32","3,192.32","3,205.48",
18-Dec-2019,"3,191.14",-1.38,-0.04%,"3,195.21","3,191.14","3,198.48",
17-Dec-2019,"3,192.52",+1.07,+0.03%,"3,195.40","3,191.03","3,198.22",
16-Dec-2019,"3,191.45",+22.65,+0.71%,"3,183.63","3,183.63","3,197.71",
13-Dec-2019,"3,168.80",+0.23,+0.01%,"3,166.65","3,156.51","3,182.68",
12-Dec-2019,"3,168.57",+26.94,+0.86%,"3,141.23","3,138.47","3,176.28",
11-Dec-2019,"3,141.63",+9.11,+0.29%,"3,135.75","3,133.21","3,143.98",
10-Dec-2019,"3,132.52",-3.44,-0.11%,"3,135.36","3,126.09","3,142.12",
09-Dec-2019,"3,135.96",-9.95,-0.32%,"3,141.86","3,135.46","3,148.87",
06-Dec-2019,"3,145.91",+28.48,+0.91%,"3,134.62","3,134.62","3,150.60",
05-Dec-2019,"3,117.43",+4.67,+0.15%,"3,119.21","3,103.76","3,119.45",
04-Dec-2019,"3,112.76",+19.56,+0.63%,"3,103.50","3,102.53","3,119.38",
03-Dec-2019,"3,093.20",-20.67,-0.66%,"3,087.41","3,070.33","3,094.97",
02-Dec-2019,"3,113.87",-27.11,-0.86%,"3,143.85","3,110.78","3,144.31",
29-Nov-2019,"3,140.98",-12.65,-0.40%,"3,147.18","3,139.34","3,150.30",
27-Nov-2019,"3,153.63",+13.11,+0.42%,"3,145.49","3,143.41","3,154.26",
26-Nov-2019,"3,140.52",+6.88,+0.22%,"3,134.85","3,131.00","3,142.69",
25-Nov-2019,"3,133.64",+23.35,+0.75%,"3,117.44","3,117.44","3,133.83",
22-Nov-2019,"3,110.29",+6.75,+0.22%,"3,111.41","3,099.26","3,112.87",
21-Nov-2019,"3,103.54",-4.92,-0.16%,"3,108.49","3,094.55","3,110.11",
20-Nov-2019,"3,108.46",-11.72,-0.38%,"3,114.66","3,091.41","3,118.97",
19-Nov-2019,"3,120.18",-1.85,-0.06%,"3,127.45","3,113.47","3,127.64",
18-Nov-2019,"3,122.03",+1.57,+0.05%,"3,117.91","3,112.06","3,124.17",
15-Nov-2019,"3,120.46",+23.83,+0.77%,"3,107.92","3,104.60","3,120.46",
14-Nov-2019,"3,096.63",+2.59,+0.08%,"3,090.75","3,083.26","3,098.20",
13-Nov-2019,"3,094.04",+2.20,+0.07%,"3,084.18","3,078.80","3,098.06",
12-Nov-2019,"3,091.84",+4.83,+0.16%,"3,089.28","3,084.73","3,102.61",
11-Nov-2019,"3,087.01",-6.07,-0.20%,"3,080.33","3,075.82","3,088.33",
08-Nov-2019,"3,093.08",+7.90,+0.26%,"3,081.25","3,073.58","3,093.09",
07-Nov-2019,"3,085.18",+8.40,+0.27%,"3,087.02","3,080.23","3,097.77",
06-Nov-2019,"3,076.78",+2.16,+0.07%,"3,075.10","3,065.89","3,078.34",
05-Nov-2019,"3,074.62",-3.65,-0.12%,"3,080.80","3,072.15","3,083.95",
04-Nov-2019,"3,078.27",+11.36,+0.37%,"3,078.96","3,074.87","3,085.20",
01-Nov-2019,"3,066.91",+29.35,+0.97%,"3,050.72","3,050.72","3,066.95",
31-Oct-2019,"3,037.56",-9.21,-0.30%,"3,046.90","3,023.19","3,046.90",
30-Oct-2019,"3,046.77",+9.88,+0.33%,"3,039.74","3,025.96","3,050.10",
29-Oct-2019,"3,036.89",-2.53,-0.08%,"3,035.39","3,034.81","3,047.87",
28-Oct-2019,"3,039.42",+16.87,+0.56%,"3,032.12","3,032.12","3,044.08",
25-Oct-2019,"3,022.55",+12.26,+0.41%,"3,003.32","3,001.94","3,027.39",
24-Oct-2019,"3,010.29",+5.77,+0.19%,"3,014.78","3,000.42","3,016.07",
23-Oct-2019,"3,004.52",+8.53,+0.28%,"2,994.01","2,991.21","3,004.78",
22-Oct-2019,"2,995.99",-10.73,-0.36%,"3,010.73","2,995.04","3,014.57",
21-Oct-2019,"3,006.72",+20.52,+0.69%,"2,996.48","2,995.35","3,007.33",
18-Oct-2019,"2,986.20",-11.75,-0.39%,"2,996.84","2,976.31","3,000.00",
17-Oct-2019,"2,997.95",+8.26,+0.28%,"3,000.77","2,991.79","3,008.29",
16-Oct-2019,"2,989.69",-5.99,-0.20%,"2,989.68","2,985.20","2,997.54",
15-Oct-2019,"2,995.68",+29.53,+1.00%,"2,973.61","2,973.61","3,003.28",
14-Oct-2019,"2,966.15",-4.12,-0.14%,"2,965.81","2,962.94","2,972.84",
11-Oct-2019,"2,970.27",+32.14,+1.09%,"2,963.07","2,963.07","2,993.28",
10-Oct-2019,"2,938.13",+18.73,+0.64%,"2,918.55","2,917.12","2,948.46",
09-Oct-2019,"2,919.40",+26.34,+0.91%,"2,911.10","2,907.41","2,929.32",
08-Oct-2019,"2,893.06",-45.73,-1.56%,"2,920.40","2,892.66","2,925.47",
07-Oct-2019,"2,938.79",-13.22,-0.45%,"2,944.23","2,935.68","2,959.75",
04-Oct-2019,"2,952.01",+41.38,+1.42%,"2,918.56","2,918.56","2,953.74",
03-Oct-2019,"2,910.63",+23.02,+0.80%,"2,885.38","2,855.94","2,911.13",
02-Oct-2019,"2,887.61",-52.64,-1.79%,"2,924.78","2,874.93","2,924.78",
01-Oct-2019,"2,940.25",-36.49,-1.23%,"2,983.69","2,938.70","2,992.53",
30-Sep-2019,"2,976.74",+14.95,+0.50%,"2,967.07","2,967.07","2,983.85",
27-Sep-2019,"2,961.79",-15.83,-0.53%,"2,985.47","2,945.53","2,987.31",
26-Sep-2019,"2,977.62",-7.25,-0.24%,"2,985.73","2,963.71","2,987.28",
25-Sep-2019,"2,984.87",+18.27,+0.62%,"2,968.35","2,952.86","2,989.82",
24-Sep-2019,"2,966.60",-25.18,-0.84%,"3,002.43","2,957.73","3,007.98",
23-Sep-2019,"2,991.78",-0.29,-0.01%,"2,983.50","2,982.23","2,999.15",
20-Sep-2019,"2,992.07",-14.72,-0.49%,"3,008.42","2,984.68","3,016.37",
19-Sep-2019,"3,006.79",+0.06,+0.00%,"3,010.36","3,003.16","3,021.99",
18-Sep-2019,"3,006.73",+1.03,+0.03%,"3,001.50","2,978.57","3,007.83",
17-Sep-2019,"3,005.70",+7.74,+0.26%,"2,995.67","2,993.73","3,006.21",
16-Sep-2019,"2,997.96",-9.43,-0.31%,"2,996.41","2,990.67","3,002.19",
13-Sep-2019,"3,007.39",-2.18,-0.07%,"3,012.21","3,002.90","3,017.33",
12-Sep-2019,"3,009.57",+8.64,+0.29%,"3,009.08","3,000.92","3,020.74",
11-Sep-2019,"3,000.93",+21.54,+0.72%,"2,981.41","2,975.31","3,000.93",
10-Sep-2019,"2,979.39",+0.96,+0.03%,"2,971.01","2,957.01","2,979.39",
09-Sep-2019,"2,978.43",-0.28,-0.01%,"2,988.43","2,969.39","2,989.43",
06-Sep-2019,"2,978.71",+2.71,+0.09%,"2,980.33","2,972.51","2,985.03",
05-Sep-2019,"2,976.00",+38.22,+1.30%,"2,960.60","2,960.60","2,985.86",
04-Sep-2019,"2,937.78",+31.51,+1.08%,"2,924.67","2,921.86","2,938.84",
03-Sep-2019,"2,906.27",-20.19,-0.69%,"2,909.01","2,891.85","2,914.39",
30-Aug-2019,"2,926.46",+1.88,+0.06%,"2,937.09","2,913.32","2,940.43",
29-Aug-2019,"2,924.58",+36.64,+1.27%,"2,910.37","2,905.67","2,930.50",
28-Aug-2019,"2,887.94",+18.78,+0.65%,"2,861.28","2,853.05","2,890.03",
27-Aug-2019,"2,869.16",-9.22,-0.32%,"2,893.14","2,860.59","2,898.79",
26-Aug-2019,"2,878.38",+31.27,+1.10%,"2,866.70","2,856.00","2,879.27",
23-Aug-2019,"2,847.11",-75.84,-2.59%,"2,911.07","2,834.97","2,927.01",
22-Aug-2019,"2,922.95",-1.48,-0.05%,"2,930.94","2,904.51","2,939.08",
21-Aug-2019,"2,924.43",+23.92,+0.82%,"2,922.04","2,917.91","2,928.73",
20-Aug-2019,"2,900.51",-23.14,-0.79%,"2,919.01","2,899.60","2,923.63",
19-Aug-2019,"2,923.65",+34.97,+1.21%,"2,913.48","2,913.48","2,931.00",
16-Aug-2019,"2,888.68",+41.08,+1.44%,"2,864.74","2,864.74","2,893.63",
15-Aug-2019,"2,847.60",+7.00,+0.25%,"2,846.20","2,825.51","2,856.67",
14-Aug-2019,"2,840.60",-85.72,-2.93%,"2,894.15","2,839.64","2,894.15",
13-Aug-2019,"2,926.32",+42.57,+1.48%,"2,880.72","2,877.05","2,943.31",
12-Aug-2019,"2,883.75",-34.90,-1.20%,"2,907.07","2,873.14","2,907.58",
09-Aug-2019,"2,918.65",-19.44,-0.66%,"2,930.51","2,900.15","2,935.75",
08-Aug-2019,"2,938.09",+54.11,+1.88%,"2,896.21","2,894.47","2,938.72",
07-Aug-2019,"2,883.98",+2.21,+0.08%,"2,858.65","2,825.71","2,892.17",
06-Aug-2019,"2,881.77",+37.03,+1.30%,"2,861.18","2,847.42","2,884.40",
05-Aug-2019,"2,844.74",-87.31,-2.98%,"2,898.07","2,822.12","2,898.07",
02-Aug-2019,"2,932.05",-21.51,-0.73%,"2,943.90","2,914.11","2,945.50",
01-Aug-2019,"2,953.56",-26.82,-0.90%,"2,980.32","2,945.23","3,013.59",
31-Jul-2019,"2,980.38",-32.80,-1.09%,"3,016.22","2,958.08","3,017.40",
30-Jul-2019,"3,013.18",-7.79,-0.26%,"3,007.66","3,000.94","3,017.19",
29-Jul-2019,"3,020.97",-4.89,-0.16%,"3,024.47","3,014.30","3,025.61",
26-Jul-2019,"3,025.86",+22.19,+0.74%,"3,013.25","3,012.59","3,027.98",
25-Jul-2019,"3,003.67",-15.89,-0.53%,"3,016.26","2,997.24","3,016.31",
24-Jul-2019,"3,019.56",+14.09,+0.47%,"2,998.77","2,996.82","3,019.59",
23-Jul-2019,"3,005.47",+20.44,+0.68%,"2,994.74","2,988.56","3,005.90",
22-Jul-2019,"2,985.03",+8.42,+0.28%,"2,981.93","2,976.65","2,990.71",
19-Jul-2019,"2,976.61",-18.50,-0.62%,"3,004.26","2,975.86","3,006.02",
18-Jul-2019,"2,995.11",+10.69,+0.36%,"2,978.87","2,973.09","2,998.28",
17-Jul-2019,"2,984.42",-19.62,-0.65%,"3,005.10","2,984.25","3,005.26",
16-Jul-2019,"3,004.04",-10.26,-0.34%,"3,012.13","3,001.15","3,015.02",
15-Jul-2019,"3,014.30",+0.53,+0.02%,"3,017.80","3,008.77","3,017.80",
12-Jul-2019,"3,013.77",+13.86,+0.46%,"3,003.36","3,001.87","3,013.92",
11-Jul-2019,"2,999.91",+6.84,+0.23%,"2,999.62","2,988.80","3,002.33",
10-Jul-2019,"2,993.07",+13.44,+0.45%,"2,989.30","2,984.62","3,002.98",
09-Jul-2019,"2,979.63",+3.68,+0.12%,"2,965.52","2,963.44","2,981.90",
08-Jul-2019,"2,975.95",-14.46,-0.48%,"2,979.77","2,970.09","2,980.76",
05-Jul-2019,"2,990.41",-5.41,-0.18%,"2,984.25","2,967.97","2,994.03",
03-Jul-2019,"2,995.82",+22.81,+0.77%,"2,978.08","2,977.96","2,995.84",
02-Jul-2019,"2,973.01",+8.68,+0.29%,"2,964.66","2,955.92","2,973.21",
01-Jul-2019,"2,964.33",+22.57,+0.77%,"2,971.41","2,952.22","2,977.93",
28-Jun-2019,"2,941.76",+16.84,+0.58%,"2,932.94","2,929.05","2,943.98",
27-Jun-2019,"2,924.92",+11.14,+0.38%,"2,919.66","2,918.57","2,929.30",
26-Jun-2019,"2,913.78",-3.60,-0.12%,"2,926.07","2,912.99","2,932.59",
25-Jun-2019,"2,917.38",-27.97,-0.95%,"2,945.78","2,916.01","2,946.52",
24-Jun-2019,"2,945.35",-5.11,-0.17%,"2,951.42","2,944.05","2,954.92",
21-Jun-2019,"2,950.46",-3.72,-0.13%,"2,952.71","2,946.87","2,964.15",
20-Jun-2019,"2,954.18",+27.72,+0.95%,"2,949.60","2,931.50","2,958.06",
19-Jun-2019,"2,926.46",+8.71,+0.30%,"2,920.55","2,911.43","2,931.74",
18-Jun-2019,"2,917.75",+28.08,+0.97%,"2,906.71","2,905.44","2,930.79",
17-Jun-2019,"2,889.67",+2.69,+0.09%,"2,889.75","2,887.30","2,897.27",
14-Jun-2019,"2,886.98",-4.66,-0.16%,"2,886.82","2,879.62","2,894.45",
13-Jun-2019,"2,891.64",+11.80,+0.41%,"2,886.24","2,881.99","2,895.24",
12-Jun-2019,"2,879.84",-5.88,-0.20%,"2,882.73","2,874.68","2,888.57",
11-Jun-2019,"2,885.72",-1.01,-0.03%,"2,903.27","2,878.53","2,910.61",
10-Jun-2019,"2,886.73",+13.39,+0.47%,"2,885.83","2,885.51","2,904.77",
07-Jun-2019,"2,873.34",+29.85,+1.05%,"2,852.87","2,852.87","2,884.97",
06-Jun-2019,"2,843.49",+17.34,+0.61%,"2,828.51","2,822.45","2,852.10",
05-Jun-2019,"2,826.15",+22.88,+0.82%,"2,818.09","2,800.92","2,827.28",
04-Jun-2019,"2,803.27",+58.82,+2.14%,"2,762.64","2,762.64","2,804.49",
03-Jun-2019,"2,744.45",-7.61,-0.28%,"2,751.53","2,728.81","2,763.07",
31-May-2019,"2,752.06",-36.80,-1.32%,"2,766.15","2,750.52","2,768.98",
30-May-2019,"2,788.86",+5.84,+0.21%,"2,786.94","2,776.74","2,799.00",
29-May-2019,"2,783.02",-19.37,-0.69%,"2,790.25","2,766.06","2,792.03",
28-May-2019,"2,802.39",-23.67,-0.84%,"2,830.03","2,801.58","2,840.51",
24-May-2019,"2,826.06",+3.82,+0.14%,"2,832.41","2,820.19","2,841.36",
23-May-2019,"2,822.24",-34.03,-1.19%,"2,836.70","2,805.49","2,836.70",
22-May-2019,"2,856.27",-8.09,-0.28%,"2,856.06","2,851.11","2,865.47",
21-May-2019,"2,864.36",+24.13,+0.85%,"2,854.02","2,854.02","2,868.88",
20-May-2019,"2,840.23",-19.30,-0.67%,"2,841.94","2,831.29","2,853.86",
17-May-2019,"2,859.53",-16.79,-0.58%,"2,858.60","2,854.23","2,885.48",
16-May-2019,"2,876.32",+25.36,+0.89%,"2,855.80","2,855.80","2,892.15",
15-May-2019,"2,850.96",+16.55,+0.58%,"2,820.38","2,815.08","2,858.68",
14-May-2019,"2,834.41",+22.54,+0.80%,"2,820.12","2,820.12","2,852.54",
13-May-2019,"2,811.87",-69.53,-2.41%,"2,840.19","2,801.43","2,840.19",
10-May-2019,"2,881.40",+10.68,+0.37%,"2,863.10","2,825.39","2,891.31",
09-May-2019,"2,870.72",-8.70,-0.30%,"2,859.84","2,836.40","2,875.97",
08-May-2019,"2,879.42",-4.63,-0.16%,"2,879.61","2,873.28","2,897.96",
07-May-2019,"2,884.05",-48.42,-1.65%,"2,913.03","2,862.60","2,913.03",
06-May-2019,"2,932.47",-13.17,-0.45%,"2,908.89","2,898.21","2,937.32",
03-May-2019,"2,945.64",+28.12,+0.96%,"2,929.21","2,929.21","2,947.85",
02-May-2019,"2,917.52",-6.21,-0.21%,"2,922.16","2,900.50","2,931.68",
01-May-2019,"2,923.73",-22.10,-0.75%,"2,952.33","2,923.36","2,954.13",
30-Apr-2019,"2,945.83",+2.80,+0.10%,"2,937.14","2,924.11","2,948.22",
29-Apr-2019,"2,943.03",+3.15,+0.11%,"2,940.58","2,939.35","2,949.52",
26-Apr-2019,"2,939.88",+13.71,+0.47%,"2,925.81","2,917.56","2,939.88",
25-Apr-2019,"2,926.17",-1.08,-0.04%,"2,928.99","2,912.84","2,933.10",
24-Apr-2019,"2,927.25",-6.43,-0.22%,"2,934.00","2,926.05","2,936.83",
23-Apr-2019,"2,933.68",+25.71,+0.88%,"2,909.99","2,908.53","2,936.31",
22-Apr-2019,"2,907.97",+2.94,+0.10%,"2,898.78","2,896.35","2,909.51",
18-Apr-2019,"2,905.03",+4.58,+0.16%,"2,904.81","2,891.90","2,908.40",
17-Apr-2019,"2,900.45",-6.61,-0.23%,"2,916.04","2,895.45","2,918.00",
16-Apr-2019,"2,907.06",+1.48,+0.05%,"2,912.26","2,900.71","2,916.06",
15-Apr-2019,"2,905.58",-1.83,-0.06%,"2,908.32","2,896.48","2,909.60",
12-Apr-2019,"2,907.41",+19.09,+0.66%,"2,900.86","2,898.37","2,910.54",
11-Apr-2019,"2,888.32",+0.11,+0.00%,"2,891.92","2,881.99","2,893.42",
10-Apr-2019,"2,888.21",+10.01,+0.35%,"2,881.37","2,879.13","2,889.71",
